ID,1_percentage,1_counts,2_percentage,2_counts,3_percentage,3_counts,4_percentage,4_counts,5_percentage,5_counts,6_percentage,6_counts,7_percentage,7_counts,8_percentage,8_counts,9_percentage,9_counts,10_percentage,10_counts,11_percentage,11_counts,12_percentage,12_counts,13_percentage,13_counts,14_percentage,14_counts,15_percentage,15_counts,16_percentage,16_counts,17_percentage,17_counts,18_percentage,18_counts
4_143_179845_26,88.78,348.0,5.36,21.0,0.0,0.0,1.02,4.0,0.77,3.0,0.0,0.0,2.04,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_158_182098_143,83.66,128.0,3.27,5.0,0.65,1.0,3.27,5.0,0.0,0.0,0.0,0.0,5.23,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.0,0.0,0.0,0.0,0.0,2.61,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_9_160750_5,27.49,229.0,3.12,26.0,1.2,10.0,0.96,8.0,7.56,63.0,0.24,2.0,43.46,362.0,0.0,0.0,0.12,1.0,0.0,0.0,1.08,9.0,1.32,11.0,0.0,0.0,7.44,62.0,0.36,3.0,0.36,3.0,1.32,11.0,0.0,0.0
2_51_166477_86,50.82,309.0,5.1,31.0,3.13,19.0,0.99,6.0,5.43,33.0,0.33,2.0,19.74,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.0,0.66,4.0,0.16,1.0,9.05,55.0,0.16,1.0,0.49,3.0,0.33,2.0,0.0,0.0
2_22_163384_46,46.0,345.0,3.47,26.0,0.13,1.0,2.13,16.0,4.8,36.0,1.07,8.0,32.8,246.0,0.0,0.0,0.0,0.0,0.13,1.0,0.53,4.0,1.47,11.0,0.13,1.0,5.07,38.0,0.0,0.0,0.53,4.0,0.0,0.0,0.0,0.0
4_150_180520_19,62.33,364.0,7.36,43.0,1.2,7.0,2.05,12.0,2.74,16.0,0.0,0.0,16.1,94.0,0.17,1.0,0.0,0.0,0.34,2.0,1.71,10.0,0.17,1.0,0.0,0.0,2.57,15.0,0.0,0.0,0.34,2.0,0.0,0.0,0.17,1.0
4_108_174283_54,57.45,270.0,5.74,27.0,2.77,13.0,5.11,24.0,2.34,11.0,0.0,0.0,17.45,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.0,1.7,8.0,0.0,0.0,1.91,9.0,0.0,0.0,1.06,5.0,0.21,1.0,0.0,0.0
3_134_178630_1,45.28,302.0,4.8,32.0,1.05,7.0,2.7,18.0,5.85,39.0,0.0,0.0,27.89,186.0,0.15,1.0,0.0,0.0,0.45,3.0,0.45,3.0,0.75,5.0,0.0,0.0,6.6,44.0,0.3,2.0,0.45,3.0,0.15,1.0,0.0,0.0
3_63_168004_16,47.28,191.0,8.17,33.0,5.45,22.0,4.7,19.0,8.17,33.0,0.5,2.0,16.83,68.0,0.0,0.0,0.5,2.0,0.0,0.0,0.99,4.0,0.99,4.0,0.0,0.0,2.72,11.0,0.0,0.0,0.5,2.0,0.5,2.0,0.0,0.0
2_43_165421_10,85.15,86.0,3.96,4.0,2.97,3.0,0.0,0.0,0.99,1.0,2.97,3.0,2.97,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
